voto,localizacion_id
82,9
75,3
1323,8
879,6
2743,5
1844,1
2203,3
58,3
2239,3
3356,1
1440,6
1439,8
2259,5
1098,9
963,7
1325,9
3281,1
1230,5
427,6
2951,9
3414,4
1344,1
2952,4
1244,3
1098,3
2381,4
1530,6
141,2
116,9
3269,5
716,5
836,2
3062,3
3217,7
2758,2
2821,6
1242,2
903,3
1903,1
1286,5
2123,1
3245,9
915,2
2703,4
1052,4
3396,3
1831,2
972,5
483,1
3391,7
171,7
3054,3
2983,1
877,5
3453,1
3062,2
2968,6
68,5
1820,6
2941,5
2870,5
1467,2
1742,4
1216,9
1590,1
3270,1
3043,6
48,6
917,3
424,8
1172,5
1347,5
1969,2
1859,8
3178,3
2194,4
1382,7
14,4
405,4
2402,9
1462,8
2485,6
163,6
2323,5
257,6
1887,2
1716,9
268,5
1338,2
1228,1
699,5
1630,3
1852,9
1842,8
3042,4
1034,1
1465,2
1339,1
1725,2
1607,7
2251,5
734,1
3202,8
929,5
3211,4
59,5
218,2
2262,5
2209,8
3119,8
1012,5
2905,5
3185,7
2267,2
1040,2
1730,9
1092,6
1764,7
1807,7
406,5
2679,8
820,9
1697,4
1140,6
3110,5
2410,2
2511,7
1178,4
806,3
1448,2
2430,2
1661,3
1041,8
2303,8
2305,1
354,6
654,3
1727,3
2115,7
59,9
1558,2
1537,8
366,5
2064,4
2982,9
1878,4
933,2
3048,3
2796,6
1956,6
2182,4
2648,6
804,5
2372,4
2399,5
40,4
3231,2
1948,8
1779,7
3046,7
1695,4
3413,4
2266,3
1528,7
36,6
2835,7
716,9
1405,2
414,8
2255,2
1944,5
2495,8
1764,3
626,1
161,5
517,5
1272,2
2069,8
3342,9
1324,4
2573,1
3231,1
1319,9
1054,9
1663,7
1916,3
909,3
1630,2
2018,7
2579,8
2688,7
2255,4
140,8
2791,9
706,4
2880,2
2823,4
1740,3
11,8
1262,5
288,5
37,1
764,7
582,2
2913,5
392,2
1149,4
3426,6
269,5
675,9
860,8
1100,3
2172,8
206,2
1904,2
2232,3
2335,7
2091,7
890,5
2561,2
1581,1
150,6
1273,7
646,7
2152,1
1000,8
2076,3
3180,9
2560,2
494,2
120,2
2627,3
1013,2
2627,1
1895,2
1067,6
825,6
1142,4
1990,3
3038,1
3337,6
2622,2
3353,8
3429,7
3152,3
166,1
2056,7
2463,5
3084,5
3080,5
2994,8
2582,3
411,4
1768,9
1308,6
2646,3
3430,3
924,2
1527,5
1462,3
741,9
3407,6
3018,3
1652,5
1136,9
2227,4
1660,9
175,4
3137,2
1630,7
3161,8
319,6
2429,1
2907,9
2225,2
2177,9
2399,7
1614,7
2373,4
801,7
937,7
2361,1
229,2
2065,1
2946,6
3111,8
863,1
452,8
2779,2
934,5
2706,8
68,6
3277,5
629,2
2968,8
2354,9
3121,3
1694,3
1934,8
1659,5
453,7
1828,1
1245,5
1212,8
3300,1
96,8
1435,2
1673,9
3038,2
189,1
66,3
2054,7
1759,2
3355,1
1297,6
675,7
1974,2
2912,8
976,9
692,4
2639,4
1501,3
2739,7
1745,1
2227,3
2654,3
2648,5
2882,8
1824,6
2611,8
1088,7
1768,1
3305,9
1379,5
3065,3
2396,5
2927,7
1078,3
3115,9
2036,5
2267,8
1508,8
2512,9
2985,4
1382,1
3039,2
1194,2
2240,2
1959,1
1729,6
205,3
111,7
2471,2
2644,1
1298,3
3063,2
2714,3
1375,8
686,4
3203,2
1512,6
2968,4
3050,3
308,3
2568,4
1760,5
762,9
2714,2
2307,4
243,1
17,7
3165,4
1473,9
3275,2
559,2
507,9
1608,5
2762,6
2859,4
2917,9
2408,2
2436,7
1499,6
1970,4
193,1
2037,3
1360,9
46,2
983,5
2736,4
1743,1
1331,9
955,1
2475,4
2310,6
700,2
1533,4
1060,8
3282,3
2773,9
2937,8
285,7
2785,3
1028,5
568,4
775,7
1248,3
171,2
2965,5
1660,3
72,3
34,6
1038,6
3077,1
1891,8
2816,7
1907,8
1896,6
1421,1
3349,2
814,5
323,6
2460,5
345,3
1693,2
669,9
36,3
1927,2
435,5
182,4
2434,5
1867,7
1729,1
656,4
2534,4
802,9
118,3
484,5
2717,4
2962,4
493,5
2640,8
1259,8
729,7
841,6
831,5
2918,5
3188,6
96,2
1888,5
3394,4
3319,6
133,2
1877,7
2067,9
2011,3
3155,1
394,9
67,1
2924,2
1761,6
2621,5
775,4
857,9
926,9
1758,9
2505,7
120,8
2673,2
1531,1
3007,7
485,3
2704,4
320,8
538,8
1490,6
792,3
1817,3
3438,6
3078,4
2491,1
1999,9
3019,1
2346,3
503,6
2073,4
423,9
2294,8
3120,8
1304,3
317,4
1612,7
303,3
643,8
631,6
2966,5
831,6
506,6
2630,3
2702,2
1050,9
1195,4
1726,8
57,8
835,5
1148,6
1277,3
1741,1
3093,6
2395,6
3328,9
1920,4
2,2
66,3
626,4
594,9
926,3
1133,1
2174,4
2378,6
1634,1
2512,9
2672,7
1511,8
3341,9
819,9
2740,7
3031,8
3379,8
2729,3
3067,7
1749,9
1889,3
53,4
2083,8
2582,9
1032,3
1172,2
992,5
3456,6
2920,7
1188,7
772,2
2969,8
3070,1
2936,1
1510,2
2341,9
1257,5
1472,6
350,6
3033,2
681,8
2898,8
360,4
299,5
64,1
381,8
422,1
1452,9
50,4
472,9
1498,7
351,7
2340,1
773,8
148,4
3317,7
261,5
3313,4
1506,7
1476,6
582,8
463,3
1032,5
3450,2
943,4
1206,2
2572,6
1908,9
3412,2
438,3
494,5
2078,7
3272,6
176,2
3059,9
3151,7
2827,8
2176,8
1126,6
429,1
2471,3
59,9
3069,9
784,1
2233,8
2523,9
3344,4
2050,4
1356,4
3209,3
2595,3
2876,4
1777,8
993,5
239,4
3113,3
2416,8
1933,2
1605,4
2356,3
808,8
1312,5
1182,4
1362,8
1624,5
1989,7
2914,7
2547,4
923,2
2347,9
1498,1
201,4
537,6
2641,5
165,6
2800,5
3140,8
799,7
3381,6
2882,9
243,9
828,7
3400,5
667,4
1673,2
598,9
1715,4
2159,6
659,7
3072,5
1436,2
864,7
2904,9
1950,1
706,5
292,4
217,2
2362,8
1763,3
1436,8
1144,9
1500,2
3038,6
251,7
1379,4
1376,5
826,3
2283,2
2539,2
2322,3
904,6
1901,1
2457,1
932,1
1714,5
3397,5
1206,8
2607,9
455,8
1885,7
802,2
725,9
587,8
2831,6
1085,9
3126,7
3274,4
2858,3
2894,4
2240,9
371,4
2144,1
2962,6
424,7
2253,5
2124,2
1874,7
118,7
2101,4
887,7
3116,3
1265,5
486,2
3294,1
351,9
711,2
1711,8
405,5
521,5
1263,7
166,8
1707,2
2841,4
1451,1
3114,9
72,7
2467,4
1752,2
1970,7
2762,8
1656,9
1125,2
1743,9
1788,4
1043,4
1887,1
3264,2
1559,1
3388,8
3448,8
3008,3
3380,2
3011,9
888,7
569,9
1844,1
184,3
3143,8
2868,5
2083,5
3248,7
2162,9
1958,1
2319,9
141,5
3044,1
635,9
1223,8
1233,2
733,9
1354,4
1206,8
2683,6
2928,7
1267,3
1102,9
3420,8
1313,1
3298,4
2,9
1832,3
2875,9
2507,1
2869,7
177,3
2103,2
181,7
35,6
1932,3
592,8
1402,4
2852,4
1161,9
1061,1
2907,9
1894,3
1974,3
548,8
1850,1
3302,6
1437,2
2306,1
1194,5
1130,7
2454,1
2252,2
260,9
2067,1
1083,5
2795,5
2343,9
3046,8
3388,6
3327,5
1305,4
511,6
3273,9
2776,5
476,8
2427,9
2642,1
2842,9
472,8
277,6
1183,6
3079,5
3232,6
268,6
421,6
760,8
1577,2
120,3
2749,8
99,6
377,7
3438,6
1166,6
1670,4
2170,3
2850,8
1553,3
1357,5
2242,3
2318,3
3423,1
154,7
1864,7
3181,1
3038,9
761,1
2587,2
1442,8
2854,5
3131,8
2501,9
458,4
114,8
2983,6
1106,4
1203,1
64,2
511,8
622,3
444,3
2762,5
282,9
3237,6
575,1
3211,7
475,9
390,9
2245,4
60,5
2237,5
247,9
409,6
2117,2
1278,9
2474,6
159,8
200,7
2126,3
2185,4
1343,9
2182,2
1719,2
168,7
179,1
459,4
2746,7
1257,1
1568,7
3416,6
3340,1
561,8
1297,3
3190,3
1363,7
1862,4
2484,4
450,7
1165,5
3024,4
98,1
1517,6
1964,4
3442,5
2941,4
774,8
2433,3
3415,7
2850,9
1698,7
3056,8
310,4
2577,3
141,2
907,5
470,3
3361,8
1514,5
2797,7
3005,1
3268,7
649,9
1445,7
2997,6
3017,1
1283,6
230,9
203,8
2111,1
1958,1
3314,8
94,1
1236,9
1480,2
2479,7
1498,6
2118,2
156,1
1417,8
818,2
1327,2
476,4
819,4
1886,6
3042,2
1336,7
2131,9
834,3
1077,5
1085,1
1208,9
207,2
1086,8
2640,4
274,4
2681,5
3249,9
3105,8
1813,8
866,2
762,7
2543,2
1168,1
581,6
214,4
1672,2
500,3
2999,2
465,7
573,1
712,5
2647,5
150,6
1854,4
569,3
2555,5
681,2
2478,8
1971,6
136,2
3199,9
1813,3
1575,7
2883,1
3195,6
1889,4
1598,3
1081,8
2226,8
2578,4
444,6
51,6
1243,7
1095,1
308,3
2882,8
633,3
3032,9
1493,2
1379,2
1352,3
2079,1
290,4
1339,3
2575,3
894,2
2903,1
1203,9
2777,6
